name,meaning,source_column,source_function,source_expression,dtype,module_applicability,available_at,safe_decision_time_feature,currently_used_as_hard_filter,diagnostic_only,numeric_shape_panel,note
long_near_miss_session,long near miss session,long_near_miss_session,src/diagnostics_signals.py:376,"result[""long_near_miss""]
        & result[""long_fail_session""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_near_miss_confirmed,long near miss confirmed,long_near_miss_confirmed,src/diagnostics_signals.py:381,"result[""long_near_miss""]
        & result[""long_fail_confirmed""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_direction,short fail direction,short_fail_direction,src/diagnostics_signals.py:390,"~result[""allow_short""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_score,short fail score,short_fail_score,src/diagnostics_signals.py:394,"result[""short_score""]
        < result[""min_confluence""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_volatility,short fail volatility,short_fail_volatility,src/diagnostics_signals.py:399,"~result[""volatility_ok""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_candle,short fail candle,short_fail_candle,src/diagnostics_signals.py:403,"~result[""not_overextended""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_session,short fail session,short_fail_session,src/diagnostics_signals.py:407,"~result[""session_ok""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_confirmed,short fail confirmed,short_fail_confirmed,src/diagnostics_signals.py:411,"~result[""is_confirmed""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_fail_count,short fail count,short_fail_count,src/diagnostics_signals.py:419,"result[""short_fail_direction""].astype(int)
        + result[""short_fail_score""].astype(int)
        + result[""short_fail_volatility""].astype(int)
        + result[""short_fail_candle""].astype(int)
        + result[""short_fail_session""].astype(int)
        + result[""short_fail_confirmed""].astype(int)",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_score_gap,short score gap,short_score_gap,src/diagnostics_signals.py:432,"(
        result[""min_confluence""]
        - result[""short_score""]
    ).clip(lower=0)",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss,short near miss,short_near_miss,src/diagnostics_signals.py:441,"(~result[""short_signal""])
        & (result[""short_fail_count""] == 1)",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_direction,short near miss direction,short_near_miss_direction,src/diagnostics_signals.py:446,"result[""short_near_miss""]
        & result[""short_fail_direction""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_score,short near miss score,short_near_miss_score,src/diagnostics_signals.py:451,"result[""short_near_miss""]
        & result[""short_fail_score""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_volatility,short near miss volatility,short_near_miss_volatility,src/diagnostics_signals.py:456,"result[""short_near_miss""]
        & result[""short_fail_volatility""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_candle,short near miss candle,short_near_miss_candle,src/diagnostics_signals.py:461,"result[""short_near_miss""]
        & result[""short_fail_candle""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_session,short near miss session,short_near_miss_session,src/diagnostics_signals.py:466,"result[""short_near_miss""]
        & result[""short_fail_session""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_confirmed,short near miss confirmed,short_near_miss_confirmed,src/diagnostics_signals.py:471,"result[""short_near_miss""]
        & result[""short_fail_confirmed""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_trend,pb long fail trend,pb_long_fail_trend,src/diagnostics_signals.py:499,"~result[""uptrend""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_slow_ema,pb long fail slow ema,pb_long_fail_slow_ema,src/diagnostics_signals.py:503,"~(
        result[""close""] > result[""htf_ema_slow""]
    )",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_rsi,pb long fail rsi,pb_long_fail_rsi,src/diagnostics_signals.py:507,"~result[""rsi_up_recent""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_touch,pb long fail touch,pb_long_fail_touch,src/diagnostics_signals.py:511,"~result[""touched_ema_long""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_reclaim,pb long fail reclaim,pb_long_fail_reclaim,src/diagnostics_signals.py:515,"~result[""reclaimed_long""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_long_fail_mask,pb long fail mask,pb_long_fail_mask,src/diagnostics_signals.py:519,"result[""pb_long_fail_trend""].astype(int) * 1
        + result[""pb_long_fail_slow_ema""].astype(int) * 2
        + result[""pb_long_fail_rsi""].astype(int) * 4
        + result[""pb_long_fail_touch""].astype(int) * 8
        + result[""pb_long_fail_reclaim""].astype(int) * 16",int64,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_long_fail_trend,bo long fail trend,bo_long_fail_trend,src/diagnostics_signals.py:538,"~result[""uptrend""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_long_fail_price,bo long fail price,bo_long_fail_price,src/diagnostics_signals.py:542,"~(
        result[""close""] > result[""breakout_level""]
    )",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_long_fail_volume,bo long fail volume,bo_long_fail_volume,src/diagnostics_signals.py:546,"~result[""volume_strong""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_long_fail_rsi,bo long fail rsi,bo_long_fail_rsi,src/diagnostics_signals.py:550,"~result[""rsi_up_recent""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_long_fail_mask,bo long fail mask,bo_long_fail_mask,src/diagnostics_signals.py:554,"result[""bo_long_fail_trend""].astype(int) * 1
        + result[""bo_long_fail_price""].astype(int) * 2
        + result[""bo_long_fail_volume""].astype(int) * 4
        + result[""bo_long_fail_rsi""].astype(int) * 8",int64,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_long_fail_trend,sq long fail trend,sq_long_fail_trend,src/diagnostics_signals.py:578,"~result[""uptrend""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_long_fail_recent,sq long fail recent,sq_long_fail_recent,src/diagnostics_signals.py:582,"~result[""squeeze_recent""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_long_fail_release,sq long fail release,sq_long_fail_release,src/diagnostics_signals.py:586,"result[""in_squeeze""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_long_fail_price,sq long fail price,sq_long_fail_price,src/diagnostics_signals.py:590,"~(
        result[""close""] > result[""bb_upper""]
    )",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_long_fail_mask,sq long fail mask,sq_long_fail_mask,src/diagnostics_signals.py:594,"result[""sq_long_fail_trend""].astype(int) * 1
        + result[""sq_long_fail_recent""].astype(int) * 2
        + result[""sq_long_fail_release""].astype(int) * 4
        + result[""sq_long_fail_price""].astype(int) * 8",int64,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_trend,mr long fail trend,mr_long_fail_trend,src/diagnostics_signals.py:613,"~result[""uptrend""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_slow_ema,mr long fail slow ema,mr_long_fail_slow_ema,src/diagnostics_signals.py:617,"~(
        result[""close""] > result[""htf_ema_slow""]
    )",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_oversold,mr long fail oversold,mr_long_fail_oversold,src/diagnostics_signals.py:621,"~result[""was_oversold_recently""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_rsi_cross,mr long fail rsi cross,mr_long_fail_rsi_cross,src/diagnostics_signals.py:625,"~result[""rsi_cross_up""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_candle,mr long fail candle,mr_long_fail_candle,src/diagnostics_signals.py:629,"~(
        result[""close""] > result[""open""]
    )",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_long_fail_mask,mr long fail mask,mr_long_fail_mask,src/diagnostics_signals.py:633,"result[""mr_long_fail_trend""].astype(int) * 1
        + result[""mr_long_fail_slow_ema""].astype(int) * 2
        + result[""mr_long_fail_oversold""].astype(int) * 4
        + result[""mr_long_fail_rsi_cross""].astype(int) * 8
        + result[""mr_long_fail_candle""].astype(int) * 16",int64,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_trend,pb short fail trend,pb_short_fail_trend,src/diagnostics_signals.py:664,"~result[""downtrend""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_slow_ema,pb short fail slow ema,pb_short_fail_slow_ema,src/diagnostics_signals.py:668,"~(
        result[""close""] < result[""htf_ema_slow""]
    )",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_rsi,pb short fail rsi,pb_short_fail_rsi,src/diagnostics_signals.py:672,"~result[""rsi_down_recent""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_touch,pb short fail touch,pb_short_fail_touch,src/diagnostics_signals.py:676,"~result[""touched_ema_short""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_reclaim,pb short fail reclaim,pb_short_fail_reclaim,src/diagnostics_signals.py:680,"~result[""reclaimed_short""]",bool,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
pb_short_fail_mask,pb short fail mask,pb_short_fail_mask,src/diagnostics_signals.py:684,"result[""pb_short_fail_trend""].astype(int) * 1
        + result[""pb_short_fail_slow_ema""].astype(int) * 2
        + result[""pb_short_fail_rsi""].astype(int) * 4
        + result[""pb_short_fail_touch""].astype(int) * 8
        + result[""pb_short_fail_reclaim""].astype(int) * 16",int64,pullback,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_short_fail_trend,bo short fail trend,bo_short_fail_trend,src/diagnostics_signals.py:703,"~result[""downtrend""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_short_fail_price,bo short fail price,bo_short_fail_price,src/diagnostics_signals.py:707,"~(
        result[""close""] < result[""breakdown_level""]
    )",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_short_fail_volume,bo short fail volume,bo_short_fail_volume,src/diagnostics_signals.py:711,"~result[""volume_strong""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_short_fail_rsi,bo short fail rsi,bo_short_fail_rsi,src/diagnostics_signals.py:715,"~result[""rsi_down_recent""]",bool,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
bo_short_fail_mask,bo short fail mask,bo_short_fail_mask,src/diagnostics_signals.py:719,"result[""bo_short_fail_trend""].astype(int) * 1
        + result[""bo_short_fail_price""].astype(int) * 2
        + result[""bo_short_fail_volume""].astype(int) * 4
        + result[""bo_short_fail_rsi""].astype(int) * 8",int64,breakout,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_short_fail_trend,sq short fail trend,sq_short_fail_trend,src/diagnostics_signals.py:740,"~result[""downtrend""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_short_fail_recent,sq short fail recent,sq_short_fail_recent,src/diagnostics_signals.py:744,"~result[""squeeze_recent""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_short_fail_release,sq short fail release,sq_short_fail_release,src/diagnostics_signals.py:748,"result[""in_squeeze""]",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_short_fail_price,sq short fail price,sq_short_fail_price,src/diagnostics_signals.py:752,"~(
        result[""close""] < result[""bb_lower""]
    )",bool,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
sq_short_fail_mask,sq short fail mask,sq_short_fail_mask,src/diagnostics_signals.py:756,"result[""sq_short_fail_trend""].astype(int) * 1
        + result[""sq_short_fail_recent""].astype(int) * 2
        + result[""sq_short_fail_release""].astype(int) * 4
        + result[""sq_short_fail_price""].astype(int) * 8",int64,squeeze,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_trend,mr short fail trend,mr_short_fail_trend,src/diagnostics_signals.py:775,"~result[""downtrend""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_slow_ema,mr short fail slow ema,mr_short_fail_slow_ema,src/diagnostics_signals.py:779,"~(
        result[""close""] < result[""htf_ema_slow""]
    )",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_overbought,mr short fail overbought,mr_short_fail_overbought,src/diagnostics_signals.py:783,"~result[""was_overbought_recently""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_rsi_cross,mr short fail rsi cross,mr_short_fail_rsi_cross,src/diagnostics_signals.py:787,"~result[""rsi_cross_down""]",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_candle,mr short fail candle,mr_short_fail_candle,src/diagnostics_signals.py:791,"~(
        result[""close""] < result[""open""]
    )",bool,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
mr_short_fail_mask,mr short fail mask,mr_short_fail_mask,src/diagnostics_signals.py:795,"result[""mr_short_fail_trend""].astype(int) * 1
        + result[""mr_short_fail_slow_ema""].astype(int) * 2
        + result[""mr_short_fail_overbought""].astype(int) * 4
        + result[""mr_short_fail_rsi_cross""].astype(int) * 8
        + result[""mr_short_fail_candle""].astype(int) * 16",int64,meanrev,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_non_score_ready,long non score ready,long_non_score_ready,src/diagnostics_signals.py:821,"result[""allow_long""]
        & result[""volatility_ok""]
        & result[""not_overextended""]
        & result[""session_ok""]
        & result[""is_confirmed""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_non_score_ready,short non score ready,short_non_score_ready,src/diagnostics_signals.py:829,"result[""allow_short""]
        & result[""volatility_ok""]
        & result[""not_overextended""]
        & result[""session_ok""]
        & result[""is_confirmed""]",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_waiting_for_score,long waiting for score,long_waiting_for_score,src/diagnostics_signals.py:841,"result[""long_non_score_ready""]
        & (
            result[""long_score""]
            < result[""min_confluence""]
        )",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_waiting_for_score,short waiting for score,short_waiting_for_score,src/diagnostics_signals.py:849,"result[""short_non_score_ready""]
        & (
            result[""short_score""]
            < result[""min_confluence""]
        )",bool,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_score_wait_bars,long score wait bars,long_score_wait_bars,src/diagnostics_signals.py:898,"consecutive_true_streak(
            result[""long_waiting_for_score""]
        )",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_score_wait_bars,short score wait bars,short_score_wait_bars,src/diagnostics_signals.py:904,"consecutive_true_streak(
            result[""short_waiting_for_score""]
        )",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_delay_on_signal,long delay on signal,long_delay_on_signal,src/diagnostics_signals.py:939,"previous_long_wait.where(
            result[""long_signal""]
        )",float64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_delay_on_signal,short delay on signal,short_delay_on_signal,src/diagnostics_signals.py:945,"previous_short_wait.where(
            result[""short_signal""]
        )",float64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_near_miss_streak,long near miss streak,long_near_miss_streak,src/diagnostics_signals.py:955,"consecutive_true_streak(
            result[""long_near_miss""]
        )",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_streak,short near miss streak,short_near_miss_streak,src/diagnostics_signals.py:961,"consecutive_true_streak(
            result[""short_near_miss""]
        )",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_near_miss_streak_before_signal,long near miss streak before signal,long_near_miss_streak_before_signal,src/diagnostics_signals.py:991,"previous_long_near_miss.where(
            result[""long_signal""]
        )",float64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_near_miss_streak_before_signal,short near miss streak before signal,short_near_miss_streak_before_signal,src/diagnostics_signals.py:997,"previous_short_near_miss.where(
            result[""short_signal""]
        )",float64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_final_fail_mask,long final fail mask,long_final_fail_mask,src/diagnostics_signals.py:1024,"result[""long_fail_direction""].astype(int) * 1
        + result[""long_fail_score""].astype(int) * 2
        + result[""long_fail_volatility""].astype(int) * 4
        + result[""long_fail_candle""].astype(int) * 8
        + result[""long_fail_session""].astype(int) * 16
        + result[""long_fail_confirmed""].astype(int) * 32",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_final_fail_mask,short final fail mask,short_final_fail_mask,src/diagnostics_signals.py:1037,"result[""short_fail_direction""].astype(int) * 1
        + result[""short_fail_score""].astype(int) * 2
        + result[""short_fail_volatility""].astype(int) * 4
        + result[""short_fail_candle""].astype(int) * 8
        + result[""short_fail_session""].astype(int) * 16
        + result[""short_fail_confirmed""].astype(int) * 32",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
long_active_module_mask,long active module mask,long_active_module_mask,src/diagnostics_signals.py:1064,"result[""pullback_long""].astype(int) * 1
        + result[""breakout_long""].astype(int) * 2
        + result[""squeeze_long""].astype(int) * 4
        + result[""mean_rev_long""].astype(int) * 8",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
short_active_module_mask,short active module mask,short_active_module_mask,src/diagnostics_signals.py:1075,"result[""pullback_short""].astype(int) * 1
        + result[""breakout_short""].astype(int) * 2
        + result[""squeeze_short""].astype(int) * 4
        + result[""mean_rev_short""].astype(int) * 8",int64,all/context,closed input bar close,True,False,True,False,Hard-filter flag includes upstream gate inputs. htf_* uses Daily input; NaN retained; no event-end metadata
